"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.11.2023","15.947,87","15.986,40","16.011,98","15.825,83","444,54M","-0,25%"
"29.11.2023","15.987,60","16.111,59","16.166,18","15.976,69","230,98M","-0,14%"
"28.11.2023","16.010,43","15.939,12","16.031,38","15.921,45","238,59M","0,30%"
"27.11.2023","15.961,98","15.971,05","16.045,30","15.933,04","215,45M","-0,11%"
"24.11.2023","15.980,11","15.972,89","16.007,42","15.940,62","68,57M","-0,13%"
"22.11.2023","16.001,39","16.027,18","16.118,43","15.964,04","202,91M","0,43%"
"21.11.2023","15.933,62","15.952,06","15.967,34","15.867,85","210,89M","-0,58%"
"20.11.2023","16.027,06","15.846,14","16.056,43","15.846,14","247,08M","1,19%"
"17.11.2023","15.837,99","15.803,98","15.876,82","15.767,03","259,24M","0,03%"
"16.11.2023","15.833,17","15.765,07","15.842,63","15.738,49","274,41M","0,10%"
"15.11.2023","15.817,18","15.882,78","15.904,36","15.765,37","271,67M","0,03%"
"14.11.2023","15.812,47","15.745,42","15.850,28","15.727,96","290,23M","2,13%"
"13.11.2023","15.482,79","15.470,03","15.524,56","15.405,50","197,75M","-0,30%"
"10.11.2023","15.529,12","15.252,23","15.534,81","15.238,05","278,47M","2,25%"
"09.11.2023","15.187,90","15.349,50","15.381,93","15.171,32","263,17M","-0,82%"
"08.11.2023","15.313,24","15.315,77","15.342,86","15.220,98","241,21M","0,11%"
"07.11.2023","15.296,02","15.201,77","15.335,39","15.153,73","232,65M","0,93%"
"06.11.2023","15.154,93","15.139,15","15.180,19","15.065,14","218,03M","0,37%"
"03.11.2023","15.099,49","14.981,99","15.149,71","14.965,29","269,75M","1,21%"
"02.11.2023","14.919,54","14.855,00","14.930,54","14.794,18","296,18M","1,74%"
"01.11.2023","14.664,91","14.455,32","14.677,51","14.442,71","298,77M","1,77%"
"31.10.2023","14.409,78","14.340,45","14.420,26","14.233,31","251,08M","0,52%"
"30.10.2023","14.335,51","14.282,11","14.388,15","14.225,94","233,95M","1,09%"
"27.10.2023","14.180,42","14.242,26","14.320,90","14.131,55","274,77M","0,50%"
"26.10.2023","14.109,57","14.315,70","14.372,27","14.058,33","299,37M","-1,89%"
"25.10.2023","14.381,64","14.643,23","14.643,69","14.362,31","297,48M","-2,47%"
"24.10.2023","14.745,86","14.679,08","14.774,16","14.610,33","226,19M","0,97%"
"23.10.2023","14.604,85","14.515,34","14.746,37","14.419,06","224,36M","0,30%"
"20.10.2023","14.560,88","14.750,25","14.780,99","14.552,31","295,79M","-1,50%"
"19.10.2023","14.783,13","14.981,47","15.022,88","14.749,61","268,51M","-0,85%"
"18.10.2023","14.909,26","15.024,23","15.103,77","14.866,07","226,41M","-1,41%"
"17.10.2023","15.122,01","15.005,61","15.187,06","14.933,25","240,21M","-0,33%"
"16.10.2023","15.172,73","15.054,48","15.209,41","15.047,97","222,56M","1,18%"
"13.10.2023","14.995,12","15.226,58","15.231,09","14.943,74","235,94M","-1,24%"
"12.10.2023","15.184,10","15.265,16","15.333,98","15.090,80","230,89M","-0,37%"
"11.10.2023","15.241,12","15.195,81","15.247,99","15.119,79","206,57M","0,72%"
"10.10.2023","15.131,52","15.075,38","15.241,86","15.051,17","215,54M","0,56%"
"09.10.2023","15.047,16","14.872,03","15.070,60","14.816,38","","0,49%"
"06.10.2023","14.973,24","14.621,66","15.021,38","14.576,74","259,20M","1,70%"
"05.10.2023","14.723,22","14.766,85","14.784,69","14.584,39","223,98M","-0,36%"
"04.10.2023","14.776,25","14.613,23","14.803,04","14.592,69","240,11M","1,45%"
"03.10.2023","14.565,62","14.744,92","14.818,54","14.504,51","237,60M","-1,83%"
"02.10.2023","14.837,57","14.716,83","14.891,83","14.703,20","212,66M","0,83%"
"29.09.2023","14.715,24","14.855,83","14.900,66","14.664,78","265,04M","0,08%"
"28.09.2023","14.702,77","14.530,35","14.787,27","14.510,17","227,38M","0,84%"
"27.09.2023","14.580,16","14.603,51","14.657,21","14.432,87","250,39M","0,24%"
"26.09.2023","14.545,83","14.661,67","14.678,22","14.505,78","243,61M","-1,51%"
"25.09.2023","14.768,89","14.662,69","14.771,12","14.615,45","184,67M","0,46%"
"22.09.2023","14.701,10","14.755,39","14.855,75","14.687,01","230,72M","0,05%"
"21.09.2023","14.694,24","14.813,21","14.848,49","14.692,01","281,45M","-1,84%"
"20.09.2023","14.969,92","15.224,51","15.244,86","14.968,43","212,79M","-1,46%"
"19.09.2023","15.191,23","15.151,83","15.219,47","15.069,74","211,52M","-0,22%"
"18.09.2023","15.225,37","15.160,01","15.268,84","15.155,46","216,29M","0,15%"
"15.09.2023","15.202,40","15.427,11","15.434,59","15.174,13","756,25M","-1,75%"
"14.09.2023","15.473,89","15.433,01","15.512,74","15.337,70","244,11M","0,82%"
"13.09.2023","15.348,53","15.293,27","15.414,15","15.256,61","223,41M","0,38%"
"12.09.2023","15.289,74","15.389,30","15.447,85","15.279,02","221,55M","-1,11%"
"11.09.2023","15.461,87","15.408,55","15.482,62","15.329,38","245,99M","1,19%"
"08.09.2023","15.280,23","15.265,74","15.373,58","15.244,08","216,67M","0,14%"
"07.09.2023","15.258,52","15.174,22","15.288,20","15.138,73","272,71M","-0,73%"
"06.09.2023","15.371,44","15.468,29","15.486,63","15.289,75","219,29M","-0,88%"
"05.09.2023","15.508,24","15.460,03","15.556,52","15.420,25","232,98M","0,11%"
"01.09.2023","15.490,86","15.598,41","15.618,04","15.429,36","231,03M","-0,07%"
"31.08.2023","15.501,07","15.476,54","15.574,43","15.466,47","309,88M","0,25%"
"30.08.2023","15.462,43","15.386,59","15.484,61","15.342,85","206,48M","0,56%"
"29.08.2023","15.376,55","15.042,31","15.391,53","15.036,46","249,10M","2,15%"
"28.08.2023","15.052,46","15.034,95","15.085,57","14.948,92","185,04M","0,74%"
"25.08.2023","14.941,83","14.863,21","15.001,29","14.716,77","247,76M","0,85%"
"24.08.2023","14.816,44","15.279,24","15.279,24","14.816,19","294,42M","-2,19%"
"23.08.2023","15.148,06","14.948,01","15.188,66","14.948,01","234,17M","1,60%"
"22.08.2023","14.908,96","15.034,57","15.037,17","14.884,02","199,05M","-0,19%"
"21.08.2023","14.936,69","14.765,12","14.958,71","14.739,92","236,73M","1,65%"
"18.08.2023","14.694,84","14.589,71","14.743,57","14.558,71","256,36M","-0,14%"
"17.08.2023","14.715,81","14.943,82","14.948,91","14.698,29","239,69M","-1,08%"
"16.08.2023","14.876,47","15.022,33","15.075,22","14.874,02","211,58M","-1,07%"
"15.08.2023","15.037,65","15.172,39","15.192,61","15.014,61","202,63M","-1,10%"
"14.08.2023","15.205,58","14.989,53","15.205,58","14.972,25","219,49M","1,18%"
"11.08.2023","15.028,07","15.011,16","15.102,13","14.973,82","198,56M","-0,67%"
"10.08.2023","15.128,84","15.217,29","15.365,38","15.072,71","205,33M","0,18%"
"09.08.2023","15.101,71","15.288,04","15.288,04","15.078,58","232,48M","-1,12%"
"08.08.2023","15.273,05","15.276,38","15.294,89","15.148,32","239,25M","-0,87%"
"07.08.2023","15.407,85","15.354,45","15.410,59","15.261,25","228,69M","0,87%"
"04.08.2023","15.274,92","15.436,57","15.522,55","15.259,07","284,84M","-0,51%"
"03.08.2023","15.353,54","15.289,29","15.436,46","15.271,77","237,76M","-0,11%"
"02.08.2023","15.370,74","15.561,15","15.561,36","15.321,44","305,95M","-2,21%"
"01.08.2023","15.718,01","15.696,98","15.748,43","15.636,57","211,40M","-0,25%"
"31.07.2023","15.757,00","15.774,30","15.803,55","15.702,74","254,54M","0,04%"
"28.07.2023","15.750,93","15.630,17","15.788,48","15.617,75","295,90M","1,85%"
"27.07.2023","15.464,93","15.734,03","15.795,51","15.416,05","291,79M","-0,22%"
"26.07.2023","15.499,26","15.514,04","15.571,16","15.411,91","263,28M","-0,40%"
"25.07.2023","15.561,42","15.483,06","15.622,69","15.482,04","234,86M","0,73%"
"24.07.2023","15.448,02","15.475,15","15.504,67","15.374,66","220,80M","0,14%"
"21.07.2023","15.425,67","15.554,95","15.600,54","15.410,57","799,03M","-0,26%"
"20.07.2023","15.466,09","15.717,67","15.771,84","15.429,87","334,20M","-2,28%"
"19.07.2023","15.826,35","15.888,16","15.932,05","15.781,96","268,74M","-0,09%"
