Buenas,
Este es un df par el proyecto. Es toda la estadistica de la liga española de fútbol de la temporada 22/23, pero lo que voy a hacer es tambien con los mismos df de las temporadas 21/22 y 20/21.
Este df esta "sucio", de aquí voy a quitar muchas columnas y añadiré algunas otras para el proyecto.
En el proyecto en si voy a hacer un analisis sobre la influencia de la posesion de balón en el juego, para ello crearé una nueva columna "Posesion Value". Además añadiré otra df con los jugadores de las 5 grandes ligas
y buscaré similitudes en jugadores para la realización de algún posible fichaje. En definitiva, el proyecto me gustaría enfocarlo como si se lo presentase a un director deportivo, ofreciendole diferentes posibilidades 
de mejora para el equipo  en función de su "modelo de juego".



RL,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Asistencia,Máximo Goleador del Equipo,Portero,Notas,"('Local', 'local_PJ')","('Local', 'local_PG')","('Local', 'local_PE')","('Local', 'local_PP')","('Local', 'local_GF')","('Local', 'local_GC')","('Local', 'local_DG')","('Local', 'local_Pts')","('Local', 'local_Pts/PJ')","('Local', 'local_xG')","('Local', 'local_xGA')","('Local', 'local_xGD')","('Local', 'xGD/90')","('Visitante', 'vis_PJ')","('Visitante', 'vis_PG')","('Visitante', 'vis_PE')","('Visitante', 'vis_PP')","('Visitante', 'vis_GF')","('Visitante', 'vis_GC')","('Visitante', 'vis_DG')","('Visitante', 'vis_Pts')","('Visitante', 'vis_Pts/PJ')","('Visitante', 'vis_xG')","('Visitante', 'vis_xGA')","('Visitante', 'vis_xGD')","('Visitante', 'xGD/90')",PL,Edad,Pos.,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Equipo,PL,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD.1,PC,% Salvadas,Equipo,PL,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Equipo,PL,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Equipo,PL,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Equipo,PL,Pos.,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR
10,Girona,38,13,10,15,58,55,3,49,1.29,50.4,55.0,-4.6,-0.12,11471,Valentín Castellanos - 13,Paulo Gazzaniga,,19,10,3,6,35,26,9,33,1.74,28.9,23.9,5.0,0.26,19,3,7,9,23,29,-6,16,0.84,21.5,31.1,-9.6,-0.5,25,27.4,39.9,38,418,3420,38.0,34,21,55,29,5,8,125,9,36.7,30.4,22.5,53.0,365,1003,0.89,0.55,1.45,0.76,1.32,0.96,0.59,1.56,0.8,1.39,Getafe,1,38,38,3420,38.0,45,1.18,166,119,75.3,10,12,16,13,34.2,8,4,4,0,50.0,Getafe,25,38.0,34,365,116,31.8,9.61,3.05,0.08,0.25,18.0,19,5,8,36.7,30.4,0.09,-2.7,-1.4,Getafe,25,38.0,9690,14126,68.6,189556,83925,4104,5044,81.4,3760,4936,76.2,1502,3175,47.3,21,22.5,24.0,-1.5,248,844,214,94,1003,Getafe,25,38.0,619,16.29,414,84,25,35,54,7,51,1.34,38,4,2,2,4,1,Getafe,25,39.9,38.0,17947,1980,5769,8366,3992,589,17939,456,217,47.6,189,41.4,8694,41812,20506,365,292,78,504,268,9604,989
9,Mallorca,38,14,8,16,37,43,-6,50,1.32,35.2,46.4,-11.2,-0.3,14799,Vedat Muriqi - 15,Predrag Rajković,,19,10,5,4,22,12,10,35,1.84,19.7,17.6,2.1,0.11,19,4,3,12,15,31,-16,15,0.79,15.4,28.8,-13.4,-0.7,33,27.6,43.1,38,418,3420,38.0,51,31,82,46,5,5,99,10,48.3,44.4,35.0,79.4,528,1146,1.34,0.82,2.16,1.21,2.03,1.27,0.92,2.19,1.17,2.09,Espanyol,4,38,38,3419,38.0,69,1.82,183,115,65.0,8,13,17,6,15.8,6,5,1,0,16.7,Espanyol,33,38.0,51,417,151,36.2,10.97,3.97,0.11,0.3,17.3,13,5,5,48.3,44.4,0.11,2.7,1.6,Espanyol,33,38.0,10827,14698,73.7,208293,86401,4483,5312,84.4,4607,5640,81.7,1483,2971,49.9,31,35.0,30.2,-4.0,319,906,233,83,1146,Espanyol,33,38.0,735,19.34,506,79,43,53,41,13,84,2.21,58,2,5,13,3,3,Espanyol,33,43.1,38.0,18805,2216,6173,8355,4471,688,18800,575,257,44.7,260,45.2,9604,51135,25085,528,385,111,526,245,10712,1135
7,Osasuna,38,15,8,15,37,42,-5,53,1.39,39.4,45.7,-6.3,-0.17,19655,"Ante Budimir, Ezequiel Ávila - 8",Aitor Fernández,→ Europa Conference League Por el final de liga,19,11,1,7,24,21,3,34,1.79,26.2,19.7,6.4,0.34,19,4,7,8,13,21,-8,19,1.0,13.3,26.0,-12.7,-0.67,26,26.7,50.2,38,418,3420,38.0,41,31,72,39,2,3,85,6,42.8,40.4,30.9,71.4,704,1403,1.08,0.82,1.89,1.03,1.84,1.13,0.81,1.94,1.06,1.88,Celta Vigo,2,38,38,3420,38.0,53,1.39,134,80,64.2,11,10,17,10,26.3,8,5,2,1,28.6,Celta Vigo,26,38.0,41,470,160,34.0,12.37,4.21,0.08,0.24,19.0,19,2,3,42.8,40.4,0.09,-1.8,-1.4,Celta Vigo,26,38.0,14700,18499,79.5,267004,91075,6259,7148,87.6,6536,7569,86.4,1565,2844,55.0,31,30.9,31.6,0.1,353,1143,274,77,1403,Celta Vigo,26,38.0,819,21.55,623,62,45,41,37,11,70,1.84,55,3,6,3,1,2,Celta Vigo,26,50.2,38.0,22608,2214,7194,10099,5553,734,22605,700,323,46.1,295,42.1,13546,71269,36623,704,558,161,566,298,14591,1393
11,Rayo Vallecano,38,13,10,15,45,53,-8,49,1.29,43.9,49.9,-6.0,-0.16,12525,Isaac Palazón Camacho - 9,Stole Dimitrievski,,19,9,5,5,28,22,6,32,1.68,25.4,20.8,4.6,0.24,19,4,5,10,17,31,-14,17,0.89,18.5,29.1,-10.6,-0.56,29,26.0,51.3,38,418,3420,38.0,55,41,96,47,8,9,92,3,50.4,43.6,37.2,80.8,725,1378,1.45,1.08,2.53,1.24,2.32,1.33,0.98,2.31,1.15,2.13,Girona,2,38,38,3420,38.0,55,1.45,168,112,70.8,13,10,15,4,10.5,8,6,1,1,14.3,Girona,29,38.0,55,446,160,35.9,11.74,4.21,0.11,0.29,17.2,6,8,9,50.4,43.6,0.1,4.6,3.4,Girona,29,38.0,15146,18604,81.4,264810,95707,7006,7806,89.8,6295,7222,87.2,1449,2560,56.6,41,37.2,35.4,3.8,366,1086,265,91,1378,Girona,29,38.0,821,21.61,597,86,41,45,43,9,102,2.68,70,10,1,5,13,3,Girona,29,51.3,38.0,22397,2619,7918,9753,4932,761,22388,728,341,46.8,311,42.7,13365,73974,38669,725,497,167,467,330,15020,1364
2,Real Madrid,38,24,6,8,75,36,39,78,2.05,75.5,38.9,36.6,0.96,56649,Karim Benzema - 19,Thibaut Courtois,→ Champions League Por el final de liga,19,13,5,1,44,16,28,44,2.32,42.8,17.4,25.3,1.33,19,11,1,7,31,20,11,34,1.79,32.8,21.5,11.2,0.59,26,27.4,51.6,38,418,3420,38.0,46,33,79,41,5,7,81,5,54.2,48.7,38.9,87.6,864,1816,1.21,0.87,2.08,1.08,1.95,1.43,1.02,2.45,1.28,2.31,Athletic Club,2,38,38,3420,38.0,43,1.13,123,83,67.5,14,9,15,11,28.9,3,3,0,0,0.0,Athletic Club,26,38.0,46,541,157,29.0,14.24,4.13,0.08,0.26,17.1,13,5,7,54.2,48.7,0.09,-8.2,-7.7,Athletic Club,26,38.0,14440,18630,77.5,261620,96037,6451,7431,86.8,6030,7262,83.0,1634,2878,56.8,33,38.9,35.7,-5.9,413,1385,341,107,1816,Athletic Club,26,38.0,945,24.87,678,96,56,59,40,16,78,2.05,54,3,6,7,7,1,Athletic Club,26,51.6,38.0,22736,1978,6159,10166,6645,931,22729,734,347,47.3,305,41.6,12897,70948,39281,864,587,217,554,351,14284,1801
4,Real Sociedad,38,21,8,9,51,35,16,71,1.87,52.7,33.4,19.3,0.51,32189,Alexander Sørloth - 12,Álex Remiro,→ Champions League Por el final de liga,19,11,5,3,26,16,10,38,2.0,28.7,14.5,14.1,0.74,19,10,3,6,25,19,6,33,1.74,24.0,18.8,5.2,0.27,29,25.9,64.3,38,418,3420,38.0,69,56,125,69,0,2,83,6,75.5,74.0,60.1,134.1,963,2180,1.82,1.47,3.29,1.82,3.29,1.99,1.58,3.57,1.95,3.53,Barcelona,2,38,38,3420,38.0,20,0.53,102,85,83.3,28,4,6,26,68.4,3,3,0,0,0.0,Barcelona,29,38.0,69,570,187,32.8,15.0,4.92,0.12,0.37,15.8,20,0,2,75.5,74.0,0.14,-6.5,-5.0,Barcelona,29,38.0,21293,24725,86.1,364326,115126,10262,11168,91.9,8599,9542,90.1,1990,2923,68.1,56,60.1,66.6,-4.1,449,1859,481,104,2180,Barcelona,29,38.0,1049,27.61,824,65,62,58,29,11,125,3.29,106,2,6,11,0,0,Barcelona,29,64.3,38.0,28406,2019,6756,13998,7881,1152,28404,801,396,49.4,321,40.1,18798,101309,55608,963,784,279,546,325,21132,2166
12,Sevilla,38,13,10,15,47,54,-7,49,1.29,46.3,54.2,-7.9,-0.21,35566,Youssef En-Nesyri - 8,Yassine Bounou,,19,7,5,7,24,25,-1,26,1.37,28.7,21.6,7.2,0.38,19,6,5,8,23,29,-6,23,1.21,17.5,32.6,-15.1,-0.8,31,27.7,41.1,38,418,3420,38.0,36,27,63,32,4,5,120,5,35.2,31.1,26.5,57.7,476,948,0.95,0.71,1.66,0.84,1.55,0.93,0.7,1.62,0.82,1.52,Mallorca,3,38,38,3420,38.0,43,1.13,145,101,74.5,14,8,16,13,34.2,7,6,1,0,14.3,Mallorca,31,38.0,36,324,107,33.0,8.53,2.82,0.1,0.3,17.4,8,4,5,35.2,31.1,0.1,0.8,0.9,Mallorca,31,38.0,10451,14261,73.3,199896,84037,4575,5313,86.1,4184,5157,81.1,1424,2932,48.6,27,26.5,23.1,0.5,252,815,182,69,948,Mallorca,31,38.0,563,14.82,373,76,33,30,42,9,63,1.66,37,11,4,4,5,2,Mallorca,31,41.1,38.0,18171,2351,6553,8032,3792,524,18166,556,293,52.7,198,35.6,9509,50982,24564,476,341,94,498,302,10356,935
16,Valencia,38,11,9,18,42,45,-3,42,1.11,49.3,43.5,5.8,0.15,40602,"Samuel Lino, Justin Kluivert - 6",Giorgi Mamardashvili,,19,8,5,6,27,19,8,29,1.53,26.6,17.0,9.7,0.51,19,3,4,12,15,26,-11,13,0.68,22.7,26.5,-3.8,-0.2,30,25.9,54.6,38,418,3420,38.0,47,36,83,45,2,4,90,2,52.7,49.6,39.5,89.1,692,1483,1.24,0.95,2.18,1.18,2.13,1.39,1.04,2.43,1.3,2.34,Real Sociedad,1,38,38,3420,38.0,35,0.92,133,99,74.4,21,8,9,15,39.5,2,1,1,0,50.0,Real Sociedad,30,38.0,47,465,173,37.2,12.24,4.55,0.1,0.26,17.4,15,2,4,52.7,49.6,0.11,-5.7,-4.6,Real Sociedad,30,38.0,15324,19134,80.1,269422,96159,6955,7910,87.9,6451,7502,86.0,1505,2659,56.6,36,39.5,36.4,-3.5,346,1145,290,65,1483,Real Sociedad,30,38.0,800,21.05,594,71,41,39,38,17,82,2.16,64,3,5,4,3,3,Real Sociedad,30,54.6,38.0,23231,2283,6890,10794,5762,798,23227,680,307,45.1,293,43.1,13362,70912,36738,692,499,187,607,368,15101,1463
18,Valladolid,38,11,7,20,33,63,-30,40,1.05,38.6,64.9,-26.3,-0.69,20943,Cyle Larin - 8,Jordi Masip,Descendido,19,8,4,7,21,25,-4,28,1.47,24.4,25.2,-0.7,-0.04,19,3,3,13,12,38,-26,12,0.63,14.2,39.7,-25.6,-1.35,28,24.2,52.0,38,418,3420,38.0,40,23,63,35,5,8,92,8,49.3,43.0,32.5,75.5,786,1472,1.05,0.61,1.66,0.92,1.53,1.3,0.86,2.15,1.13,1.99,Valencia,1,38,38,3420,38.0,45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0.0,Valencia,28,38.0,40,481,141,29.3,12.66,3.71,0.07,0.25,17.4,18,5,8,49.3,43.0,0.09,-9.3,-8.0,Valencia,28,38.0,13592,17492,77.7,240816,86465,6320,7184,88.0,5505,6588,83.6,1420,2753,51.6,23,32.5,35.8,-9.5,355,1155,302,111,1472,Valencia,28,38.0,859,22.61,607,80,59,46,51,16,62,1.63,40,6,2,7,6,1,Valencia,28,52.0,38.0,21621,2061,6446,9155,6255,822,21613,747,352,47.1,307,41.1,12239,69490,37661,786,630,166,555,338,13469,1457
5,Villarreal,38,19,7,12,59,40,19,64,1.68,61.6,49.9,11.8,0.31,16406,Nicolas Jackson - 12,Pepe Reina,→ Europa League Por el final de liga,19,12,3,4,36,18,18,39,2.05,39.1,23.1,16.0,0.84,19,7,4,8,23,22,1,25,1.32,22.5,26.7,-4.2,-0.22,30,28.6,50.6,38,418,3420,38.0,43,26,69,35,8,9,82,15,51.3,44.3,34.6,78.9,620,1272,1.13,0.68,1.82,0.92,1.61,1.35,0.91,2.26,1.17,2.08,Betis,2,38,38,3420,38.0,41,1.08,146,106,74.0,17,9,12,13,34.2,3,3,0,0,0.0,Betis,30,38.0,43,411,138,33.6,10.82,3.63,0.09,0.25,18.1,21,8,9,51.3,44.3,0.11,-8.3,-9.3,Betis,30,38.0,14678,18249,80.4,245275,92460,7288,8070,90.3,5334,6273,85.0,1432,2667,53.7,26,34.6,31.7,-8.6,310,988,270,54,1272,Betis,30,38.0,741,19.5,547,55,53,44,35,7,69,1.82,47,3,5,9,5,0,Betis,30,50.6,38.0,22482,2329,7275,10222,5227,718,22473,773,365,47.2,311,40.2,12640,63649,31063,620,492,156,564,353,14567,1259
